Name,Cuisine,Coordinate
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.790858, -79.6265899)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.8360548376, -79.0867040056)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.7888811316, -79.5466364161)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.8456455, -79.5574329)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.67962609237413, -79.71893925616689)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.55932085522214, -79.71169855152056)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.6039459, -79.5892004)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.6440156, -79.6336971)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.59376125363972, -79.5676092606476)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.70003012096013, -79.6368163876104)"
