,Name,Address,Cusine
94,Ruby Watchco,730 Queen Street E,Canadian (New)
95,Nuit Social,1168 Queen Street W,Cocktail Bars; Modern European; Canadian (New)
97,Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
100,The Carbon Bar,99 Queen Street E,Barbeque; Bars; American (Traditional)
101,La Bella Managua,872 Bloor Street W,Latin American; Nicaraguan
102,Agio,1351 St Clair Avenue W,Italian
103,Snakes & Lattes Annex,600 Bloor Street W,Bars; Cafes
104,La Carnita,501 College Street,Mexican
105,Sukhothai,274 Parliament Street,Thai; Noodles
106,The Keg Steakhouse + Bar,165 York Street,Steakhouses; Bars; Seafood
107,Planta Yorkville,1221 Bay Street,Tapas/Small Plates; Pizza; Cocktail Bars
108,Pow Wow Cafe,213 Augusta Avenue,Canadian (New); Cafes
109,Burrito Boyz,224 Adelaide Street W,Mexican
111,Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
113,RYUS Noodle Bar,669 Queen Street W,Ramen
114,Momofuku Noodle Bar,190 University Avenue,Ramen; Noodles
115,Hanmoto,2 Lakeview Avenue,Japanese; Asian Fusion
116,Ryus Noodle Bar,786 Broadview Avenue,Ramen
117,The Haam,342 Adelaide St W,Japanese; Mexican; Sushi Bars
118,Swatow Restaurant,309 Spadina Avenue,Chinese
119,FIKA,28 Kensington Avenue,Coffee & Tea; Sandwiches; Desserts
120,The Burgers Priest,463 Queen Street W,Burgers
121,Moon Bean Coffee Company,30 St. Andrew Street,Coffee & Tea; Coffee Roasteries
122,Icha Tea,235 Spadina Avenue,Coffee & Tea; Desserts
123,Tofu Village - House of Soon Tofu,681 Bloor Street W,Korean
127,Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
128,White Brick Kitchen,641 Bloor Street W,Breakfast & Brunch; Comfort Food
129,Rustle & Still Café,605 Bloor Street W,Coffee & Tea; Vietnamese
130,Takht-e Tavoos,1120 College Street,Persian/Iranian
131,Assembly Chefs Hall,111 Richmond Street W,Food Court
132,Pizzeria Libretto Danforth,550 Danforth Avenue,Pizza; Italian
133,Yummy Yummy Dumplings,79 Huron Street,Chinese; Dumplings; Soup
134,Levetto,68 Sudbury Street,Italian; Pizza; Salad
135,La Palette,492 Queen Street W,French; Desserts; Bars
136,Summers Ice Cream,101 Yorkville Avenue,Ice Cream & Frozen Yogurt; Desserts
137,La Cubana,92 Ossington Avenue,Cuban; Desserts; Sandwiches
142,Bar Buca,75 Portland Street,Bars; Italian; Breakfast & Brunch
143,The Poke Box,36 Toronto Street,Salad; Poke
144,Good Fork,1550 Dundas St W,Canadian (New)
145,Chubbys Jamaican Kitchen,104 Portland Street,Caribbean
146,Josos,202 Davenport Road,Seafood
147,Sugo,1279 Bloor Street W,Italian; Sandwiches; Cocktail Bars
148,Almond Butterfly Cafe & Bakeshop,100 Harbord Street,Bakeries; Cafes; Breakfast & Brunch
149,Korean Village Restaurant,628 Bloor Street W,Korean
150,Scaddabush Italian Kitchen & Bar,382 Yonge Street,"Wine Bars; Italian; Beer, Wine & Spirits"
151,Plentea,1205 Queen Street W,Coffee & Tea; Tea Rooms
156,Cluny Bistro & Boulangerie,35 Tank House Lane,French; Wine Bars; Cocktail Bars
157,Mengrai Thai,82 Ontario Street,Thai; Noodles
158,Sassafraz,100 Cumberland Street,French
159,Smoque N Bones,869 Queen Street W,Barbeque
160,Seor Ak San,357 Spadina Avenue,Korean
161,The Hogtown Vegan,1056 Bloor St. W,Vegan
162,Tachi,111 Richmond Street W,Sushi Bars; Japanese
163,Banjara Indian Cuisine,796 Bloor Street W,Indian
164,Apiecalypse Now!,735 Bloor Street W,Pizza; Vegan; Ice Cream & Frozen Yogurt
165,Trattoria Nervosa,75 Yorkville Avenue,Italian; Pizza; Salad
170,Veghed,1199 Dundas Street W,Vegan; Vegetarian
171,Tandem Coffee,368 King Street E,Coffee & Tea
172,Odd Seoul,90 Ossington Avenue,Korean; Dive Bars; Asian Fusion
173,Okonomi House Restaurant,23 Charles Street W,Japanese
174,HotBlack Coffee,245 Queen Street W,Coffee & Tea; Cafes; Breakfast & Brunch
175,Egg Bae,189 Augusta Avenue,Breakfast & Brunch
176,Imm Thai Kitchen,651 College Street,Thai; Noodles
177,Indie Ale House,2876 Dundas Street W,Breweries; Gastropubs; Pizza
178,Makkal Chon,1979 Lawrence Avenue E,Korean
179,STACK,3265 Yonge Street,Barbeque
184,Schnitzel Queen,211 Queen Street E,German; Sandwiches
185,White Lily Diner,678 Queen Street E,Breakfast & Brunch; Diners
186,Casa Loma,1 Austin Terrace,Museums
187,Completo,5 Coady Avenue,Latin American; Fast Food; Comfort Food
188,Mr.Tonkatsu,520 Bloor Street W,Japanese
189,The Burgers Priest,1636 Queen Street E,Burgers
190,Earls Kitchen + Bar,150 King Street West,Canadian (New); Cocktail Bars
191,Barberians Steak House,7 Elm Street,Steakhouses
192,Wongs Ice Cream & Store,617 Gerrard Street E,Ice Cream & Frozen Yogurt; Desserts
193,Levetto,382 Spadina Avenue,Pizza; Italian; Salad
194,Indian Spice Room,717 Queen Street E,Indian; Vegetarian
198,LUnita Enoteca,134 Avenue Road,Italian
199,Little Pebbles,160 Baldwin Street,Desserts; Coffee & Tea
200,Yummy Korean Food Restaurant,620 Bloor Street W,Korean
201,Sukho Thai,52 Wellington Street E,Thai
202,Como En Casa,565 Yonge Street,Mexican
203,Chatime - Dundas,132 Dundas Street W,Coffee & Tea
204,Union,72A Ossington Avenue,French; Wine Bars
205,King Taps,Located in First Canadian Place,Lounges; Canadian (New); Breakfast & Brunch
206,Cafe Crepe,246 Queen Street W,Creperies; Breakfast & Brunch; Coffee & Tea
207,Salad Days,2 Bloor Street W,Food Stands; Salad
212,Homemade Ramen,263 Spadina Avenue,Chinese; Noodles; Ramen
213,Honest Weight,2766 Dundas Street W,Seafood; Seafood Markets
214,Allan Gardens,19 Horticultural Avenue,Parks
215,Sweet Jesus,106 John Street,Desserts; Ice Cream & Frozen Yogurt; Coffee & Tea
216,Messini Authentic Gyros,445 Danforth Avenue,Greek; Sandwiches
