,Name,Address,Cusine
520,Chabrol Restaurant,90 Yorkville Avenue,French
521,Mr Pide,800 Danforth Avenue,Pizza; Turkish
522,Burrito Bandidos,2 Grosvenor Street,Mexican
523,Hot-Star,374A Yonge Street,Chicken Wings; Taiwanese; Fast Food
524,Tokyo Sushi,33 St Joseph Street,Sushi Bars; Japanese
525,The Tilted Dog Pub & Kitchen,424 Parliament Street,Sandwiches; Pubs
530,Gyugyuya,177 Dundas Street W,Japanese; Fast Food
531,KINTON RAMEN,402 Queen St W,Ramen
532,Koyoi Restaurant & Bar,2 Irwin Avenue,Japanese; Bars
533,Rolltation,2291 Yonge Street,Sushi Bars; Asian Fusion; Poke
534,Omai Restaurant,3 Baldwin Street,Japanese
535,Kupfert & Kim,100 King Street West,Vegetarian; Vegan; Gluten-Free
536,Lake Inez,1471 Gerrard Street E,Bars; Asian Fusion
537,The Keg Steakhouse + Bar - Esplanade,26 The Esplanade,Steakhouses; Bars; Seafood
538,Nami Restaurant,55 Adelaide Street E,Japanese; Seafood
539,La Chilaca Taqueria,214 Augusta Avenue,Mexican
540,Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Seafood; Pizza
544,Napoli Centrale,964 Bathurst Street,Italian; Pizza
545,Fuwa Fuwa Japanese Pancakes,2471 Yonge Street,Desserts; Patisserie/Cake Shop; Bakeries
546,The Burgers Priest,3397 Yonge Street,Burgers
547,Sheherzade Persian Grill And Dizi,422 College St W,Persian/Iranian
548,Weslodge Bar & Grill,480 King Street W,Canadian (New); Cocktail Bars
549,One Love Vegetarian,854 Bathurst Street,Caribbean; Vegetarian
550,Sake Bar Kushi,257 Eglinton Avenue W,Japanese; Sushi Bars; Tapas Bars
551,JINYA Ramen Bar,399 Church Street,Ramen
552,Bazara Asian Cuisine,188 Ossington Avenue,Asian Fusion; Sushi Bars
553,Cinco Mexican Restaurant,131 Roncesvalles Ave,Mexican
558,Uncle Tetsus Japanese Angel Cafe,191 Dundas Street W,Desserts; Patisserie/Cake Shop
559,illstyl3 Sammies,300 Richmond Street W,Cheesesteaks; Sandwiches
560,Figs and Olives Kitchen,24 Wellesley Street W,Mediterranean; Middle Eastern; Halal
561,Simit & Chai,787 King Street W,Coffee & Tea; Sandwiches; Bakeries
562,Mi Taco Taqueria,247 Queen Street W,Mexican
563,Tastys Caribbean Restaurant,405 Spadina Avenue,Caribbean
564,Venezia Bakery,114 Ossington Avenue,Bakeries; Delis
565,Kupfert & Kim,140 Spadina Avenue.,Gluten-Free; Vegetarian; Vegan
566,Mortons The Steakhouse,4 Avenue Road,Steakhouses
567,Tre Mari Bakery,1311 Saint Clair Avenue W,Bakeries; Italian; Delicatessen
568,Panda Express,80 Weston Rd,Chinese
572,Stelvio,791 Dundas Street W,Italian
573,Rialto Espresso Bar,266 Adelaide Street W,Coffee & Tea; Bakeries
574,El Almacen Yerba Mate Café,1078 Queen Street W,Coffee & Tea
575,Fresh on Eglinton,90 Eglinton Avenue E,Vegan; Salad; Juice Bars & Smoothies
576,Jin Dal Lae,647 Bloor Street W,Korean
577,R&D Restaurant,241 Spadina Avenue,Asian Fusion; Chinese
578,Naan & Kabob,691 Yonge Street,Afghan; Kebab
579,Smith,553 Church Street,Breakfast & Brunch; Canadian (New); Bars
580,Tiger Sugar,348A Yonge Street,Bubble Tea
581,Touhenboku Ramen Restaurant,261 Queen Street W,Ramen; Desserts
586,Niuda Hand-Pulled Noodles,204 Queen St W,Chinese; Noodles
587,Sansotei Ramen,115 Fort York Boulevard,Ramen
588,Cacao 70,28 Gristmill Lane,Breakfast & Brunch; Chocolatiers & Shops
589,Millie Patisserie & Creamery,12 Oxley Street,Desserts; Bakeries; Ice Cream & Frozen Yogurt
590,Patisserie 27,401 Jane Street,Bakeries
591,Gladstone Hotel,1214 Queen Street W,Hotels; Lounges
592,Eggstatic,1568 bayview avenue,Breakfast & Brunch
593,Pig Out BBQ,650 Spadina Avenue,Barbeque; American (Traditional); Sandwiches
594,Golden Thai Restaurant,105 Church Street,Thai
595,Scaddabush Italian Kitchen & Bar,200 Front Street W.,Italian
597,Mayrik,1580 Bayview Avenue,Middle Eastern; Mediterranean
600,Cherry Street Bar-B-Que,275 Cherry Street,Barbeque
601,Little Piggys - Authentic Korean BBQ,469 Bloor St W,Korean; Barbeque
602,Pizzeria Libretto,545 King Street W,Pizza; Italian
603,Bar + Karaoke Lounge,360 Yonge Street,Karaoke; Bars
604,Umami Poke,1252 Yonge Street,Hawaiian; Seafood; Poke
605,Chipotle Mexican Grill,323 Yonge St,Mexican; Fast Food
606,Bloomers,873 Bloor Street W,Bakeries; Cafes; Vegan
607,Daan Go Pastry Lab,202 Baldwin street,Macarons; Desserts; Bakeries
608,Little Sister,2031 Yonge Street,Indonesian; Bars
609,Moliceiro Restaurant,217 Ossington Avenue,Portuguese
610,Il Ponte Cucina Italiana,625 Queen Street E,Italian
614,Ajisen Ramen,332 Spadina Avenue,Ramen
615,Fushimi,491 Church Street,Japanese; Sushi Bars
616,Film Cafe by Eative,230 Augusta Avenue,Breakfast & Brunch; Coffee & Tea; Japanese
617,Hong Kong Bistro Cafe,472 Dundas Street W,Chinese; Cafes
618,The Cloak Bar,488 Wellington Street W,Cocktail Bars
619,Over Easy Restaurant,56 Yonge Street,Breakfast & Brunch
620,Crêpes à GoGo Spadina,750 Spadina Avenue,French; Cafes
621,Taverna Mercatto,120 Bremner Boulevard,Italian
622,Paramount Middle Eastern Kitchen,253 Yonge Street,Middle Eastern
623,Brick Street Bakery,27 Trinity Street,Bakeries
628,John & Sons Oyster House,56 Temperance Street,Seafood
629,Pizza-Pide,949 Gerrard Street E,Pizza; Turkish
630,Old School,800 Dundas Street W,Breakfast & Brunch; American (Traditional)
631,Drake One Fifty,150 York Street,Cocktail Bars; Breakfast & Brunch; American (Traditional)
632,iQ,181 Bay Street,Coffee & Tea; Juice Bars & Smoothies; Health Markets
633,Nugateau Patisserie,717 Queen Street W,Bakeries; Desserts
634,Soco Kitchen and Bar,75 Lower Simcoe Street,Bars; Canadian (New)
635,Parka Food Co,424 Queen Street W,Comfort Food; Vegan; Burgers
636,Craigs Cookies,1537 Queen Street W,Desserts
637,Shoushin,3328 Yonge Street,Japanese; Sushi Bars
642,Union Social Eatery,21 Saint Clair Avenue W,American (Traditional); Canadian (New)
643,Baddies,679 Lansdowne Avenue,Coffee & Tea; Breakfast & Brunch; Cafes
644,La Société,131 Bloor Street W,French
645,Uncle Mikeys,1597 Dundas Street W,Korean
646,Black Cat Espresso Bar,1104 College Street,Coffee & Tea; Sandwiches; Ice Cream & Frozen Yogurt
647,Oretta,633 King Street W,Italian; Bars
648,Rooster Coffee House,568 Jarvis Street,Coffee & Tea
649,Café Pamenar,307 Augusta Avenue,Coffee & Tea
650,La Palma,849 Dundas Street W,Italian
651,CC Lounge & Whisky Bar,45 Front Street E,Lounges; Cocktail Bars; Whiskey Bars
656,Danforth Pizza House,920 Danforth Avenue,Pizza
657,Fusaros,294 Richmond Street E,Italian; Pizza
658,Ki Modern Japanese + Bar,181 Bay Street,Japanese; Sushi Bars
659,The Captains Boil,476 Yonge St,Seafood; Cajun/Creole; Asian Fusion
660,Omg Oh My Gyro,155 John Street,Halal; Falafel; Fast Food
661,Mallo,785 Bathurst Street,Coffee & Tea; Sandwiches
662,Donatello Restaurant,37 Elm Street,Italian; Seafood
663,Isabellas Boutique Restaurant,2066 Queen St East,Japanese; Breakfast & Brunch; Desserts
664,Shangrila Tibetan & Asian Cuisine,1600 Queen Street W,Himalayan/Nepalese; Asian Fusion; Diners
665,Kawa Sushi,451 Church Street,Sushi Bars; Japanese
670,Roll & Roll by JC Mart,136 Simcoe Street,Sushi Bars
671,Que Ling Restaurant,248 Boulton Avenue,Vietnamese
672,The Green Wood,1402 Queen Street E,Breakfast & Brunch
673,Echo Sushi,2036 Yonge Street,Sushi Bars; Japanese
674,The Bata Shoe Museum,327 Bloor Street W,Museums
675,Snakes & Lattes College,489 College Street,Bars; Cafes; Tabletop Games
676,Athens Restaurant,707 Danforth Avenue,Greek
677,La Cubana,392 Roncesvalles Avenue,Cuban
678,Demen Bistro,500 Queen Street W,Vietnamese; Bars
679,The Olde Yorke,96 Laird Drive,Seafood; Fish & Chips; British
684,Bolets Burrito,134 Lower Sherbourne,Mexican
685,MZaar Restaurant,668 Yonge Street,Lebanese; Mediterranean
686,Marche Muvbox,181 Bay Street,Salad
687,El Furniture Warehouse - Bloor St,410 Bloor St West,American (Traditional); Bars; Comfort Food
688,Reds Midtown Tavern,382 Yonge Street,Wine Bars; Venues & Event Spaces; Argentine
689,Biffs Bistro,4 Front Street E,French
690,Rosalinda,133 Richmond Street W,Mexican; Vegan
691,Pablo Cheesetart Canada,114 Dundas St W,Desserts
692,Opus Restaurant,37 Prince Arthur Avenue,Wine Bars; Modern European
693,SPIN Toronto,461 King St W,Cocktail Bars; Sports Clubs; American (Traditional)
698,BeaverTails,145 Queen's Quay W,Desserts; Fast Food
699,Famoso Neapolitan,386 Bloor Street W,Pizza
700,Figo,295 Adelaide St W,Italian
701,The County General,936 Queen Street W,Bars; Canadian (New); Breakfast & Brunch
702,P.J. OBrien Irish Pub and Restaurant,39 Colborne St,Pubs
703,Lee Chen Asian Bistro,813 Yonge Street,Dim Sum; Asian Fusion; Wine Bars
704,Queen St Warehouse,232 Queen St,Bars; Comfort Food; American (Traditional)
705,The Blake House,449 Jarvis Street,Pubs
706,Cold Tea,60 Kensington Avenue,Bars
707,Fresh on Crawford,894 Queen Street W,Vegan; Juice Bars & Smoothies; Burgers
712,Kings Café,192 Augusta Avenue,Chinese; Vegetarian
713,Emporium Latino,243 Augusta Ave,Latin American; Imported Food
714,Lao Thai Restaurant,4 Gladstone Avenue,Thai; Laotian
715,Ascari Enoteca,1111 Queen Street E,Italian; Bars
716,Ristorante Sotto Sotto,120 Avenue Road,Italian
717,Portici,6 Scollard Street,Italian; Pizza; Cafes
718,Hey Lucy,295 King St. W.,Pizza; Breakfast & Brunch
719,Peter Pan Bistro,373 Queen Street W,Canadian (New); Bistros
720,Square Boy,875 Danforth Avenue,Burgers; Greek
721,SU&BU,106 John St,Japanese; Poke
724,"Ay Caramba, Eh",65-3540 Rutherford Road,Latin American; Mexican
725,Falafel Plus,1065 Canadian Pl,Middle Eastern; Halal
726,Hogtown Vegan,382 College Street,Vegan
727,Golden Patty,187 Baldwin Street,Bakeries
728,Dark Horse Espresso Bar,630 Queen Street E,Coffee & Tea
729,Nobuya,285 Royal York Road,Japanese
730,Fune Japanese Restaurant,100 Simcoe Street,Japanese; Sushi Bars
731,Rikkochez,341 Danforth Avenue,Mediterranean; Middle Eastern
732,Sorry Coffee,102 Bloor Street W,Coffee & Tea
733,Douce France,820 Danforth Avenue,Chocolatiers & Shops; French
734,Hacienda las Américas,424 College Street,Mexican
735,Yueh Tung Restaurant,126 Elizabeth Street,Hakka; Breakfast & Brunch
736,Espinas Restaurant,6080 Yonge St.,Mediterranean; Middle Eastern; Persian/Iranian
739,Espinas Restaurant,6080 Yonge St.,Mediterranean; Persian/Iranian; Middle Eastern
740,Mi Mi Restaurant,688 Gerrard Street E,Vietnamese
741,Imonay House Restaurant,665 Bloor Street W,Korean
742,Hapa Toronto,602 College Street,Japanese
743,Giulietta,972 College Street W,Italian
744,Paldo Gangsan,694 Bloor Street W,Korean
745,Local 1794,1794 Danforth Avenue,Canadian (New); Gastropubs
746,Mermaid Fish and Grill House,44 St Clair Avenue E,Seafood; Fish & Chips; Mediterranean
747,7 Numbers Restaurant,516 Eglinton Avenue W,Italian
748,Wallace Espresso,188 Wallace Avenue,Coffee & Tea; Cafes
749,ONO Poké Bar,100 Western Battery Road,Hawaiian; Sushi Bars; Poke
754,Her Chef,599 Bloor Street W,Asian Fusion; Poke; Chicken Shop
755,Isaan Der,2961 Dundas Street W,Thai
756,Yorkville Crepes,18 Yorkville Avenue,Creperies; Cafes; Desserts
757,The Walton,607 College Street,Cocktail Bars
758,Noodle King,123 Queen Street W,Chinese; Noodles
759,Manic Coffee,426 College St,Coffee & Tea
760,Page One,106 Mutual Street,Cafes; Bars; Venues & Event Spaces
761,Five Doors North,2088 Yonge Street,Italian
762,Daddyos Pasta & Salads,673 Spadina Avenue,Italian
763,Imanishi Japanese Kitchen,1330 Dundas Street W,Japanese
768,Chiado,864 College Street,Seafood; Portuguese
769,9 Bars,46 St. Clair Avenue E,Cafes; Sandwiches; Desserts
770,Akai Sushi,168 Major Street,Japanese; Sushi Bars
771,Crown & Dragon Pub,890 Yonge Street,Pubs
772,Storm Crow Manor,580 Church Street,Bars
773,Library Bar,100 Front Street W,Lounges; Canadian (New); Diners
774,Cafe de Melbourne,193 Church Street,Coffee & Tea
775,Bampot House of Tea & Board Games,201 Harbord Street,Tea Rooms; Vegetarian
776,RH Toronto Courtyard Café,Located in Yorkdale Shopping Centre,Breakfast & Brunch; Salad
777,Rise & Dine Eatery,2714 St. Clair Avenue E,Breakfast & Brunch
782,Saffron Spice Kitchen,459 Queen Street W,Indian; Soup; Sandwiches
783,Baro,485 King Street W,Cocktail Bars; Chicken Wings; Latin American
784,Pho Rua Vang Golden Turtle,125 Ossington Avenue,Vietnamese
785,The Old Spaghetti Factory,54 The Esplanade,Italian
786,Korean Grill House,214 Queen Street W,Korean
787,Red Rocket Coffee,1364 Danforth Avenue,Desserts; Coffee & Tea
788,Mustafa Turkish Pizza,866 Wilson Avenue,Turkish
789,Bunners Bakeshop,244 Augusta Avenue,Bakeries; Vegan; Gluten-Free
790,Flaming Stove,21 Davisville Avenue,Middle Eastern; Diners; Breakfast & Brunch
791,Sea Witch Fish and Chips,636 Saint Clair Avenue W,Fish & Chips
796,Gryfes Bagel Bakery,3421 Bathurst Street,Bagels
797,Rendez-Vous,1408 Danforth Avenue,Ethiopian
798,Caffino Ristorante,1185 King Street W,Italian
799,Mr.Tonkatsu,548 Yonge Street,Japanese; Korean
800,Udupi Palace,1460 Gerrard Street E,Indian; Vegetarian; Gluten-Free
801,Jzs Pizza,232 Wellington Street W,Pizza; Italian
802,Basil Box,441 Queen Street W,Vietnamese; Thai; Gluten-Free
803,DAVIDsTEA,278A Queen Street W,Tea Rooms
804,Kalendar,546 College Street,Italian; Breakfast & Brunch; French
805,Ufficio,1214 Dundas Street W,Seafood; Vegetarian; Cocktail Bars
809,Dönerland,217 Roncesvalles Avenue,Halal; Mediterranean; Kebab
810,Ravi Soups,1128 Queen Street W,Soup
811,Hailed Coffee,801 Gerrard Street E,Coffee & Tea; Desserts
812,Hollywood Gelato,1640 Bayview Avenue,Ice Cream & Frozen Yogurt
813,Jump Restaurant,18 Wellington Street W,Canadian (New); Wine Bars
814,Knuckle Sandwich,969 Coxwell Avenue,Poutineries; Sandwiches
815,Harvest Kitchen,124 Harbord Street,Canadian (New); Bars
816,Sunny Morning,1392 Yonge Street,Breakfast & Brunch
817,Labothéry,717 Bay Street,Bubble Tea
818,Get Well,1181 Dundas Street W,Dive Bars
819,Playa Cabana Cantina,2883 Dundas Street W,Mexican
824,El Pocho Antojitos Bar,2 Follis Avenue,Bars; Breakfast & Brunch; Mexican
825,Té,70 Ossington Avenue,Asian Fusion; Taiwanese; Korean
826,Pray Tell,838 College Street,Cocktail Bars; Tapas/Small Plates; Breakfast & Brunch
827,Barista & Chef,1006 Saint Clair Avenue W,Mediterranean
828,Cauldron Ice Cream,502 Queen Street W,Ice Cream & Frozen Yogurt
829,Pancers Original Deli,3856 Bathurst Street,Delis
830,Aziza Cafe,870 College Street,Coffee & Tea; Juice Bars & Smoothies; Breakfast & Brunch
831,Aroma Fine Indian Cuisine,287 King St W,Indian
832,DonDon Izakaya,130 Dundas Street West,Japanese; Tapas Bars
833,Pravda Vodka Bar,44 Wellington St E,Lounges; Russian
838,Ritz Caribbean Foods,450 Yonge Street,Caribbean
839,Lick It Gelato,250 Queens Quay W,Desserts; Ice Cream & Frozen Yogurt
840,Handlebar,159 Augusta Avenue,Bars; Dance Clubs; Music Venues
841,Ethiopian House Restaurant,4 Irwin Avenue,Ethiopian
842,Cool Runnings Restaurant,146 Main Street,Caribbean
843,Kasa Moto,115 Yorkville Avenue,Japanese; Sushi Bars
844,Zuki Japanese Restaurant,2030 Eglinton Avenue W,Japanese; Sushi Bars
845,The Danish Pastry House,65 Front Street W,Bakeries; Patisserie/Cake Shop
846,Souv Like,708 Pape Avenue,Greek
847,Bolan Thai Cuisine,709 Mount Pleasant Road,Thai; Desserts; Noodles
852,The Only Cafe,972 Danforth Avenue,Pubs
853,Leela Indian Food Bar,3108 Dundas Street W,Indian
854,La Diperie,372 Danforth Avenue,Ice Cream & Frozen Yogurt
855,Virtuous Pie,611 College Street,Pizza; Salad; Tapas/Small Plates
856,Nandos Flame Grilled Chicken,832 Bay St.,Portuguese; South African
857,Uncle Tetsus Japanese Bake,596 Bay Street,Desserts; Bakeries
858,Loch & Quay,390 Queens Quay W,Canadian (New); Lounges
859,Kid Lee,Located in First Canadian Place,Asian Fusion; Singaporean
860,Bunas Kitchen,388 Richmond Street W,Sandwiches; Salad
861,Sushi On Bloor,525 Bloor Street W,Sushi Bars
