Cuisine,Coordinates
Coffee & Tea,"(43.6584773, -79.3855605)"
Ice Cream & Frozen Yogurt,"(46.2867334, -81.7623005)"
Thai,"(43.647561, -79.392088)"
Bakeries; Mediterranean,"(43.6780272684211, -79.3488040473684)"
Coffee & Tea; Cocktail Bars,"(43.6570599, -79.4055527)"
Canadian (New),"(43.6491799, -79.3862715226176)"
Sports Bars; Breakfast & Brunch,"(43.6385977, -79.4180586)"
Sandwiches; Seafood,"(43.6549318, -79.4163175)"
Middle Eastern,"(43.6597782, -79.3463671)"
Italian; Pizza,"(43.6522452, -79.3664233)"
Korean,"(43.658601, -79.385282)"
Italian,"(43.6652814, -79.4655765266667)"
Coffee & Tea,"(43.6456708, -79.3954245503329)"
Sports Bars; Gastropubs; Canadian (New),"(43.6451506, -79.3838917)"
Cafes; Caterers,"(43.6665184, -79.3809081949956)"
Brazilian; Steakhouses,"(43.707784, -79.394165)"
Halal; Pakistani,"(43.6714936, -79.3248109)"
Indian; Buffets,"(43.650225, -79.388925)"
Burgers; Fast Food; Sandwiches,"(43.6550104, -79.4144004)"
Chinese,"(43.657053, -79.3994037)"
Japanese; Barbeque; Asian Fusion,"(43.6516199, -79.3749039)"
Japanese,"(43.66994, -79.384202)"
Mexican; Latin American,"(43.8281075444444, -79.5473875877778)"
Fast Food; Sandwiches,"(43.6788801, -79.3444628)"
Salad,"(43.2273355, -79.8794596)"
Caribbean,"(46.50961435, -80.9352327388633)"
Cafes; Desserts; French,"(43.6721033, -79.3893669392905)"
Thai; Asian Fusion,"(43.6819742090909, -79.3307428363636)"
Japanese; Korean; Asian Fusion,"(43.6455903548387, -79.3922609677419)"
Wine Bars; Canadian (New),"(43.6537875473684, -79.40155265)"
Bars,"(43.6507051, -79.4132676)"
Mexican,"(43.645773, -79.400835)"
Coffee & Tea; Bakeries; Desserts,"(43.712057, -79.3992769)"
Wine Bars; Coffee & Tea,"(43.681631, -79.391657)"
Cocktail Bars,"(43.6501179, -79.3810438)"
Canadian (New); Gluten-Free; Vegetarian,"(43.6485714, -79.3701379)"
Italian; Tapas/Small Plates,"(43.6633268, -79.3304373)"
Breweries; Music Venues; Canadian (New),"(43.6484394, -79.3734464)"
Indian; Himalayan/Nepalese,"(43.6402668, -79.4388957)"
Barbeque; Desserts; Sandwiches,"(43.6770652444444, -79.7478156111111)"
Sports Bars; Canadian (New),"(43.6424403, -79.3806144)"
Breakfast & Brunch,"(43.6570434, -79.4067779)"
Syrian; Middle Eastern; Arabian,"(43.702681, -79.397096)"
Ramen; Noodles; Soup,"(43.664782, -79.385776)"
Portuguese; Spanish,"(43.6573005, -79.3835731)"
Himalayan/Nepalese; Cafes,"(43.640388, -79.4372262)"
Vegetarian; Chinese; Vegan,"(43.6519309, -79.4035047)"
