Name,Address,Cusine
Le Petit Déjeuner,191 King Street E,Breakfast & Brunch; Belgian
House of Gourmet,484 Dundas St W,Chinese
Tabule Restaurant,2009 Yonge Street,Middle Eastern; Vegan; Vegetarian
KINTON RAMEN,396 Church Street,Ramen; Noodles
Jimmy’s Coffee,191 Baldwin Street,Coffee & Tea
Toronto Island,Toronto Island,Parks; Beaches
COO Café Bread or Rice,1049 Bloor Street W,Japanese; French
FUEL+,471 Church Street,Coffee & Tea; Organic Stores; Juice Bars & Smoothies
Jimmy’s Coffee,84 Gerrard Street W,Coffee & Tea
Arctic Bites,21 Baldwin Street,Ice Cream & Frozen Yogurt
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Kiin,326 Adelaide Street W,Thai
Athens Pastries,509 Danforth Avenue,Bakeries; Mediterranean
Voodoo Child,388 College Street,Coffee & Tea; Cocktail Bars
Bosk,Located in Shangri-La Hotel,Canadian (New)
Local Liberty Village,171 E Liberty Street,Sports Bars; Breakfast & Brunch
The Fish Store & Sandwiches,657 College Street,Sandwiches; Seafood
Tabülè Middle Eastern Cuisine,810 Queen Street E,Middle Eastern
Mangia & Bevi,260 King Street E,Italian; Pizza
Epicure City BOM,72 Gerrard Street W,Korean
Nodo Restaurant,2885 Dundas Street West,Italian
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
Quantum Coffee,460 King Street W,Coffee & Tea
Loose Moose,146 Front Street West,Sports Bars; Gastropubs; Canadian (New)
Fabarnak Community Cafe and Catering,519 Church Street,Cafes; Caterers
Copacabana Brazilian Steak House,150 Eglinton Avenue E,Brazilian; Steakhouses
Lahore Tikka House,1365 Gerrard Street E,Halal; Pakistani
Little India Restaurant,255 Queen Street W,Indian; Buffets
Rudy,619 College Street,Burgers; Fast Food; Sandwiches
Mother’s Dumplings,421 Spadina Avenue,Chinese
Gyu-Kaku Japanese BBQ,81 Church Street,Japanese; Barbeque; Asian Fusion
Onnki Donburi,40 Hayden Street,Japanese
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
"Ay Caramba, Eh",65-3540 Rutherford Road,Mexican; Latin American
Subway,671 Danforth Avenue,Fast Food; Sandwiches
Salad House,13 Hayden Street,Salad
Simone’s Caribbean Restaurant,596 Danforth Avenue,Caribbean
Café Boulud,Located in Four Seasons Toronto,Cafes; Desserts; French
Sala Modern Thai Kitchen & Bar,1262 Danforth Avenue,Thai; Asian Fusion
Akira Back,80 Blue Jays Way,Japanese; Korean; Asian Fusion
Grey Gardens,199 Augusta Avenue,Wine Bars; Canadian (New)
Cocktail Bar,923 Dundas St W,Bars
Campechano Taquería,504 Adelaide Street W,Mexican
de Mello Palheta,2489 Yonge Street,Coffee & Tea; Bakeries; Desserts
Boxcar Social,1208 Yonge Street,Wine Bars; Coffee & Tea
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Supernova Ballroom,330 Bay Street,Cocktail Bars
Farm’r Eatery & Catering,140 The Esplanade,Canadian (New); Gluten-Free; Vegetarian
Gio Rana’s Really Really Nice Restaurant,1220 Queen Street East,Italian; Tapas/Small Plates
C’est What,67 Front Street E,Breweries; Music Venues; Canadian (New)
Himalayan Kitchen,1526 Queen Street W,Indian; Himalayan/Nepalese
Beach Hill Smokehouse,172 Main Street S,Barbeque; Desserts; Sandwiches
Real Sports,15 York Street,Sports Bars; Canadian (New)
Aunties & Uncles,74 Lippincott Street,Breakfast & Brunch
Zezafoun Syrian Cuisine,4 Manor Road E,Syrian; Middle Eastern; Arabian
Raijin Ramen,24 Wellesley Street W,Ramen; Noodles; Soup
Adega Restaurante,33 Elm St,Portuguese; Spanish
Tashi Delek Cafe,223 Jameson Avenue,Himalayan/Nepalese; Cafes
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Italian; Seafood
Buddha’s Vegan Foods,666 Dundas Street W,Vegetarian; Chinese; Vegan
Avenue Open Kitchen,7 Camden Street,Diners; Delis; Sandwiches
ImPerfect Fresh Eats,318 Adelaide Street W,Salad; Juice Bars & Smoothies; Acai Bowls
Big Trouble Pizza,235 Spadina Avenue,Pizza
