Name,Cuisine,Coordinate
Chutney's,spicy;curry;fish;meat;soup;dessert;seafood,"(43.646584, -79.513995)"
Cinnaholic - Danforth,vegan;dessert;bakery & cafe;american,"(43.677052, -79.353594)"
Clarence Square Restaurant And Bar,meat;fried;chicken;pizza;vegetarian;american,"(43.64481, -79.393578)"
Clarence Square Restaurant and Bar - Queen,meat;fried;chicken;pizza;vegetarian;american,"(43.647504, -79.400896)"
Cluck Clucks Chicken & Waffle - Esplanade,fried;chicken;american,"(43.64965, -79.366232)"
CoCo Fresh Tea & Juice - Bloor,juice-smoothie;dessert;bubble;tea;healthy;food,"(43.664523, -79.414528)"
CoCo Fresh Tea & Juice - Yonge & Gerrard,juice-smoothie;bubble;tea;healthy;food,"(43.658764, -79.38211)"
Coco Fresh Tea & Juice - Don Mills,juice-smoothie;bubble;tea;asian;healthy;food,"(43.725892, -79.341478)"
Coco Fresh Tea & Juice - North York,juice-smoothie;asian,"(43.708523, -79.398928)"
Coco Rice Thai,meat;asian;thai,"(43.643497, -79.403305)"
Cocoa Latte Cafe,salad;juice-smoothie;soup;bakery & cafe,"(43.681606, -79.425056)"
Coffee Island,fingerfood;breakfast;bakery & cafe,"(43.664178, -79.386612)"
Colaba Junction,spicy;fingerfood;curry;meat;noodles;asian,"(43.654537, -79.407135)"
College Falafel,falafel;meat;salad;sandwiches;vegetarian,"(43.654686, -79.422977)"
Completo,fingerfood;sandwiches;latin;american,"(43.662567, -79.334015)"
Copper Branch - Bathurst,gluten;free;vegan;poutine;poutines;breakfast,"(43.654176, -79.407167)"
Copper Branch - Bay,poutine;poutines;breakfast;burgers;sandwiches,"(43.648165, -79.37966)"
Copper Branch - North York,soup;breakfast;burgers;sandwiches;healthy;food,"(43.762443, -79.4109)"
Costa Verde B.B.Q. & Portuguese Grill House,fish;fries;meat;salad;soup;bbq;dessert;family;style,"(43.727196, -79.482539)"
Cottage Pizza (Lamzy),fingerfood;fries;meat;burgers;middle;eastern,"(43.774849, -79.413269)"
Craque de Crème,french;bakery & cafe,"(43.679899, -79.417263)"
Crave Desserts,dessert;bakery & cafe,"(43.644986, -79.391598)"
Crave Desserts - Queen,dessert;bakery & cafe,"(43.647503, -79.400876)"
Crazy Burrito,wrap-burritos;mexican,"(43.657331, -79.380949)"
Crazy Wings,fries;meat;bbq;canadian;american,"(43.66641, -79.316956)"
Crepe Delicious,pancakes-crépes;dessert;healthy;food;bakery & cafe,"(43.611588, -79.555904)"
Crepe Delicious - Queensway,pancakes-crépes;dessert;healthy;food;bakery & cafe,"(43.571475, -79.608546)"
Crusted Candy,bakery & cafe;american,"(43.730181, -79.465503)"
Crystal Thani,fish;meat;family;style;vegetarian;thai,"(43.655318, -79.412903)"
Crystal Thani Vegan Vegetarian,vegan;curry;meat;salad;soup;noodles;dessert,"(43.655312, -79.412861)"
Cuda's Tap & Grill,fish;meat;pasta;salad;seafood;canadian,"(43.531661, -79.613159)"
Cultures - Dundas/University,salad;healthy;food,"(43.655519, -79.388445)"
Cultures - Mississauga,vegan;meat;salad;juice-smoothie;soup,"(43.593205, -79.642576)"
Cumin Fine Indian Kitchen,indian,"(43.684701, -79.31844)"
Cuppa Tea,bakery & cafe;asian,"(43.661645, -79.381848)"
Cyprus Salads - North York,salad;greek;mediterranean;vegetarian;healthy;food,"(43.767713, -79.475911)"
Cyprus Salads Co.,vegan;salad;greek;mediterranean;vegetarian,"(43.692308, -79.440901)"
D Spot Dessert Cafe Etobicoke,meat;pancakes-crépes;dessert;poutine,"(43.623227, -79.51737)"
D Spot Dessert Cafe Toronto,meat;pancakes-crépes;dessert;poutine,"(43.662063, -79.38647)"
Da Rosa Cafe and Restaurant,meat;portuguese,"(43.706926, -79.45291)"
Dagu Rice Noodle - Dundas,noodles;asian,"(43.655376, -79.384331)"
